isin,symbol
DE000A0MVLS8,ETG.DE
CH0012138530,CSGN.SW
AT0000652011,EBS.VI
CH0210483332,CFR.SW
KR7005930003,005930.KS
US0865161014,BBY
US91912E1055,VALE
US28176E1082,EW
DE000A2GS401,SOW.DE
DE0007493991,SAX.DE
DE000A2GS625,CRZK.DE
DE0005932735,YOC.DE
US2538681030,DLR
GB00BPQY8M80,False
DE0005759807,IXX.DE
US31189P1021,FATE
DE0005854343,E4C.DE
US69318G1067,PBF
DE000A0KD0F7,M4N.DE
US54951L1098,LKNCY
CA01590A1012,CA01590A1012.SG
US83406F1021,SOFI
AU000000CUV3,CUV.AX
US8899052042,TMRAY
CA29766W1023,ETMC.V
US43289P1066,HIMX
FO0000000179,BAKKA.OL
DE0005760029,AB9.DE
DE000A0HHJR3,CLIQ.DE
CA3518581051,FNV.TO
NO0010887516,TECO.OL
AT0000609607,POS.VI
DE000A1K0201,GSC1.DE
CA4972521062,CA4972521062.SG
DE000A3H3LL2,VTWR.F
IL0011582033,FVRR
US52603A2087,LC
US37045V1008,GM
US88262P1021,TPL
CH0466642201,HELN.SW
NO0011008971,SMCRT.OL
US82489W1071,SHLS
ZAE000012084,SHP.JO
DE000A0HHKA7,False
US82837P4081,SI
US78440X5077,SLG-PI
CNE100001M79,2196.HK
CA2483561072,DML.TO
DE000LED4000,OSR.HM
US5486611073,LOW
PLPLAYW00015,PLW.WA
AT0000908504,VIG.VI
DE0006972508,PBY.DE
DE000A0LD6E6,GXI.DE
US0423155078,ARR
US2310211063,CMI
DE000A2NBX80,INS.DE
US2058871029,CAG
US31428X1063,FDX
DE0005470306,EVD.DE
US2058871029,CAG
US60786M1053,MC
CA02075X1033,ALLI.V
DE000A12UP29,L1OA.DE
DE0007446007,TTK.DE
FI0009005987,UPM.HE
CH0024608827,PGHN.SW
KYG2119W1069,False
CA92859G2027,VZLA.V
CNE1000031C1,690D.DE
NL0013654783,PRX.AS
US15961R1059,CHPT
CA1363851017,CNQ.TO
DE0005104400,AOF.DE
US7594701077,RLI.F
FR0013176526,FR.PA
CA60255C1095,MNMD
AT0000785555,SEM.VI
US61945C1036,MOS
DE0007657231,VIB3.DE
US75886F1075,REGN
DE000A11QVV0,HPHA.DE
US85254J1025,STAG
DE000A2QEFA1,FSNT.DE
FR0000051732,ATO.PA
US4227041062,HL
US88554D2053,DDD
SE0015811963,INVE-B.ST
AU000000MIN4,MIN.AX
CA2908761018,EMA.TO
